scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
opt_neut,144,7097.314191414472,,,6763.980858081139,,,,monthly,4.0,1.0,4.0,3775.529867001924,3321.784324412548,333.3333333333333,0.0,100.0,0.0,3766.0062059376123,3321.7843244125474,86080.14185000256,3793.4557608219593
opt_neut,144,7500.546699269344,,,7167.213365936011,,,,monthly,5.0,1.0,5.0,3796.686528884483,3703.860170384861,333.3333333333333,0.0,100.0,0.0,3715.0479783964074,3703.860170384861,84915.38236334645,3804.6435688335064
opt_neut,144,7387.523361188358,,,3554.1900278550247,,,,monthly,6.0,1.0,6.0,3830.7658772133605,3556.757483974997,333.3333333333333,3500.0,100.0,0.0,4107.5589298793075,3556.7574839749964,93887.06125438417,4355.445014737818
opt_neut,144,8200.486017138255,,,7867.152683804922,,,,monthly,7.0,1.0,7.0,4076.860867937275,4123.62514920098,333.3333333333333,0.0,99.0,1.0,3351.0618746536766,4123.62514920098,76595.69999208403,3582.881740190515
opt_neut,144,7083.999440295651,,,6750.666106962318,,,,monthly,8.0,1.0,8.0,3784.8875788821797,3299.111861413471,333.3333333333333,0.0,99.0,1.0,3298.50749318766,3299.1118614134707,75394.45698714652,3582.277371964705
opt_neut,144,7185.835833430402,,,6852.502500097069,,,,monthly,9.0,1.0,9.0,3771.410373529957,3414.4254599004453,333.3333333333333,0.0,99.0,1.0,3297.180289756308,3414.4254599004453,75364.1209087156,3465.0322018205675
opt_neut,144,7094.925407838526,,,3261.5920745051926,,,,monthly,10.0,1.0,10.0,3824.5440035899296,3270.3814042485965,333.3333333333333,3500.0,99.0,1.0,3894.6035900575207,3270.381404248597,89019.51062988618,4089.2543876294912
opt_neut,144,7603.36475467189,,,7270.031421338557,,,,monthly,11.0,1.0,11.0,3625.8493392406344,3977.515415431256,333.3333333333333,0.0,98.0,2.0,3846.5039554393397,3977.5154154312554,87920.09041004204,3958.2429276375756
opt_neut,144,8033.872709890262,,,3850.5393765569283,,,,monthly,12.0,1.0,12.0,4180.567139444536,3853.305570445726,333.3333333333333,3850.0000000000005,98.0,2.0,4501.73634953069,3853.3055704457256,102896.83084641576,4606.6737067225395
opt_neut,145,116335.66627389935,48000.0,17411.014777938984,50924.65149596037,0.04,96.0,100.0,summary,,,,,,,,,,,,,
