scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
pessimistic,159,163942.94815618178,,,120609.61482284844,,,,monthly,4.0,1.0,4.0,68872.99784169953,95069.95031448224,33333.333333333336,10000.0,982.0,18.0,129446.39429450987,95069.95031448222,3451903.847853597,174576.00088533008
pessimistic,159,186179.9776810858,,,142846.64434775244,,,,monthly,5.0,1.0,5.0,68296.5883221597,117883.38935892608,33333.333333333336,10000.0,980.0,20.0,133652.8839825175,117883.38935892611,3564076.9062004667,190345.49550892148
pessimistic,159,182423.8461962162,,,108129.32624162271,,,,monthly,6.0,1.0,6.0,66626.88036220695,115796.96583400926,33333.333333333336,40961.18662126016,978.0,22.0,135596.84229986495,115796.96583400921,3615915.7946630656,209435.7231655782
pessimistic,159,194699.70109101484,,,117479.60288971182,,,,monthly,7.0,1.0,7.0,72978.67782573865,121721.0232652762,33333.333333333336,43886.76486796968,973.0,27.0,141000.22893986688,121721.02326527618,3760006.105063117,227915.1253016357
pessimistic,159,197968.89562908054,,,118954.78043133987,,,,monthly,8.0,1.0,8.0,64436.08211185813,133532.8135172224,33333.333333333336,45680.78186440733,967.0,33.0,138964.78574163688,133532.81351722238,3705727.6197769837,231178.65867478377
pessimistic,159,204174.26293565967,,,160840.92960232633,,,,monthly,9.0,1.0,9.0,65894.91301712414,138279.34991853553,33333.333333333336,10000.0,962.0,38.0,141927.5545216988,138279.3499185357,3784734.7872453015,234826.86327794686
pessimistic,159,194480.47357638634,,,118188.84048580579,,,,monthly,10.0,1.0,10.0,63827.5884844095,130652.88509197683,33333.333333333336,42958.29975724721,960.0,40.0,139856.08532292498,130652.88509197692,3729495.6086113327,243052.55269936557
pessimistic,159,198890.16276932374,,,81330.81304678372,,,,monthly,11.0,1.0,11.0,63231.1439545347,135659.01881478904,33333.333333333336,84226.01638920668,955.0,45.0,134790.30771501525,135659.0188147891,3594408.2057337407,240238.25846709125
pessimistic,159,209165.1481921426,,,130824.96834794802,,,,monthly,12.0,1.0,12.0,70891.39091061254,138273.75728153007,33333.333333333336,45006.84651086124,944.0,56.0,142255.4961991691,138273.75728153012,3793479.8986445097,240464.8386220969
pessimistic,160,2086853.3602113675,4800000.0,726107.2449270361,-3439253.8847156684,0.089,911.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,160,78883.65264987136,,,15851.126285228758,,,,monthly,1.0,1.0,1.0,78883.65264987136,0.0,33333.333333333336,29699.19303130927,1000.0,0.0,60674.12392873419,0.0,1617976.6380995784,60674.12392873419
pessimistic,160,124091.1036890975,,,42372.13033184534,,,,monthly,2.0,1.0,2.0,71887.16460811796,52203.93908097953,33333.333333333336,48385.64002391882,993.0,7.0,96229.49325553249,52203.939080979515,2566119.8201475334,104118.70682120901
